Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
DOX  ,269085,48.09954,12/2/2014,158650496.8,47.75,48.2,771873,buy,Dilbert
DPG  ,329,22.3906,12/2/2014,37302482.14,22.31,22.57,98677,buy,Dilbert
DPLO ,6858,26.315789,12/2/2014,50424292,25.82,26.6175,163138,buy,Dilbert
DPM  ,1743460,46.832492,12/2/2014,111924584.2,45,54.43,1308663,buy,Dilbert
DPS  ,821292,73.493647,12/2/2014,193238470.2,72.8,73.95,2106137,buy,Dilbert
DPSGY,9492,33.119225,12/2/2014,1220590171,99,99,4964091,buy,Dilbert
DPZ  ,168686,94.754737,12/2/2014,54684311.29,94.2,95.16,582114,buy,Dilbert
DQ   ,2301,27.495208,12/2/2014,99,27.26,27.75,87345,buy,Dilbert
DRAD ,29953,3.639142,12/2/2014,19274597.61,3.775,3.775,74024,buy,Dilbert
DRC  ,77782,80.617834,12/2/2014,76128922.06,80.14,80.975,2040217,buy,Dilbert
DRD  ,100,1.97,12/2/2014,40918927.41,1.97,1.97,279737,buy,Dilbert
DRE  ,541714,19.31382,12/2/2014,341481860.4,19.16,19.43,2704889,buy,Dilbert
DRE.P,13400,25.08,12/2/2014,5979614.833,25.07,25.08,32154,buy,Dilbert
DRE.P,14245,25.05,12/2/2014,1692324.152,25.05,25.06,16208,buy,Dilbert
DRH  ,13952,14.952252,12/2/2014,195278220.3,14.74,15,1846838,buy,Dilbert
DRI  ,22377,57.642485,12/2/2014,132354292.2,57.27,58.25,1157100,buy,Dilbert
DRII ,31235,24.137621,12/2/2014,74915977.68,23.92,24.44,414338,buy,Dilbert
DRIV ,878,25.446429,12/2/2014,31930090.48,25.41,25.49,198552,buy,Dilbert
DRL  ,9100,5.106182,12/2/2014,6666659.946,5.05,5.2,47363,buy,Dilbert
DRNA ,10398,11.136907,12/2/2014,17586941.99,11.05,11.27,78110,buy,Dilbert
DRQ  ,55205,77.877898,12/2/2014,39831694.74,77,78.78,633609,buy,Dilbert
DRRX ,22136,0.902481,12/2/2014,117193018,0.8807,0.8928,239477,buy,Dilbert
DRWI ,1300,1.053846,12/2/2014,72830400.61,1.04,1.04,728637,buy,Dilbert
DRYS ,6048,1.21,12/2/2014,656778000.4,1.193,1.223,8105677,buy,Dilbert
DSCI ,21076,8.206356,12/2/2014,25646081.89,8.22,9.265,51170,buy,Dilbert
DSEEY,8749,8.186935,12/2/2014,1732664078,99,99,9024713,buy,Dilbert
DSGX ,1300,15.560192,12/2/2014,75698659.59,15.5,15.58,448037,buy,Dilbert
